Name,Awards,Year,Region
"Seltzer, Margo",ACM Athena Lecturer Award,2023,North America
"Agrawal, Shweta",ACM India Outstanding Contributions in Computing by a Woman Award,2022,Asia
"Alizadeh, Mohammad",ACM Grace Murray Hopper Award,2022,North America
"Anandkumar, Anima",ACM Gordon Bell Prize,2022,North America
"Andronick, June",ACM Software System Award,2022,Pacific Rim
"Bell, Okezue",ACM/CSTA Cutler-Bell Prize in High School Computing,2022,North America
"Bhandari, Siddharth",ACM India Doctoral Dissertation Award,2022,Asia
"Bohorquez, Cindy Orozco",ACM Gordon Bell Prize,2022,North America
"Boillod-Cerneux, France",ACM Gordon Bell Prize,2022,Europe
"Brace, Alexander",ACM Gordon Bell Prize,2022,North America
"Brettin, Thomas",ACM Gordon Bell Prize,2022,North America
"Burrows, Michael",ACM Paris Kanellakis Theory and Practice Award,2022,North America
"Caspersen, Michael E.",ACM Karl V. Karlstrom Outstanding Educator Award,2022,Europe
"Clark, Thomas",ACM Gordon Bell Prize,2022,Europe
"Clyde, Austin",ACM Gordon Bell Prize,2022,North America
"Cock, David Alan",ACM Software System Award,2022,Europe
"Copik, Marcin",ACM-IEEE CS George Michael Memorial HPC Fellowships,2022,Europe
"Dallago, Christian",ACM Gordon Bell Prize,2022,North America
"Dave, Vrunda A",ACM India Doctoral Dissertation Award,2022,Asia
"Davis, James J.",ACM Gordon Bell Prize,2022,North America
"Deng, Yuntian",ACM Gordon Bell Prize,2022,North America
"Derrin, Philip",ACM Software System Award,2022,Pacific Rim
"Elias, Nathan",ACM/CSTA Cutler-Bell Prize in High School Computing,2022,North America
"Elkaduwe, Dhammika",ACM Software System Award,2022,Pacific Rim
"Elphinstone, Kevin",ACM Software System Award,2022,Pacific Rim
"Emani, Murali",ACM Gordon Bell Prize,2022,North America
"Engelhardt, Kai",ACM Software System Award,2022,Pacific Rim
"Fedeli, Luca",ACM Gordon Bell Prize,2022,North America
"Ferragina, Paolo",ACM Paris Kanellakis Theory and Practice Award,2022,Europe
"Foreman, Sam",ACM Gordon Bell Prize,2022,North America
"Foster, Ian T",ACM-IEEE CS Ken Kennedy Award,2022,North America
"Foster, Ian T",ACM Gordon Bell Prize,2022,North America
"Ghoshal, Suprovat",ACM India Doctoral Dissertation Award,2022,Asia
"Gibbs, Thomas",ACM Gordon Bell Prize,2022,North America
"Gott, Kevin N",ACM Gordon Bell Prize,2022,North America
"Guan, Hannah",ACM/CSTA Cutler-Bell Prize in High School Computing,2022,North America
"Hall, Wendy",ACM Presidential Award,2022,Europe
"Hayot-Sasson, Valerie",ACM Gordon Bell Prize,2022,North America
"Heiser, Gernot",ACM Software System Award,2022,Pacific Rim
"Hillairet, Conrad",ACM Gordon Bell Prize,2022,Europe
"Hippe, Kyle",ACM Gordon Bell Prize,2022,North America
"Horowitz, Mark A",ACM-IEEE CS Eckert-Mauchly Award,2022,North America
"Huebl, Axel",ACM Gordon Bell Prize,2022,North America
"Irvin, Michael",ACM Gordon Bell Prize,2022,North America
"Ishii, Masado Alexander",ACM-IEEE CS George Michael Memorial HPC Fellowships,2022,North America
"Jain, Ramesh C",ACM Distinguished Service Award,2022,North America
"Jaure, Stephan",ACM Gordon Bell Prize,2022,Europe
"Kale, Bharat",ACM Gordon Bell Prize,2022,North America
"Klein, Gerwin",ACM Software System Award,2022,Pacific Rim
"Kolanski, Rafal",ACM Software System Award,2022,Pacific Rim
"Konstan, Joseph A",Outstanding Contribution to ACM Award,2022,North America
"Leblanc, Adrien",ACM Gordon Bell Prize,2022,Europe
"Lehe, Remi",ACM Gordon Bell Prize,2022,North America
"Lin, Diangen",ACM Gordon Bell Prize,2022,North America
"Lockhart, Shelby",ACM-IEEE CS George Michael Memorial HPC Fellowships,2022,North America
"Ma, Heng",ACM Gordon Bell Prize,2022,North America
