"bibliometrics__title","bibliometrics__count"
"Average Citation per Article","24"
"Citation count","7,015"
"Publication counts","288"
"Publication Years","1979 - 2022"
"Available for Download","120"
"Average Downloads per Article","693"
"Downloads (6 weeks)","476"
"Downloads (12 months)","4,449"
"Downloads (cumulative)","83,153"
"Average Citation per Article","24"
"Citation count","7,015"
"Publication counts","288"
"Publication Years","1979 - 2022"
"Available for Download","120"
"Average Downloads per Article","693"
"Downloads (6 weeks)","476"
"Downloads (12 months)","4,449"
"Downloads (cumulative)","83,153"
"Average Citation per Article","24"
"Citation count","7,015"
"Publication counts","288"
"Publication Years","1979 - 2022"
"Available for Download","120"
"Average Downloads per Article","693"
