Book Names,Book Type
"""Raw Data"" Is an Oxymoron",MIT Press
"""Well, Doc, You're In"": Freeman Dyson's Journey through the Universe",MIT Press
"""You Are Not Expected to Understand This"": How 26 Lines of Code Changed the World",Princeton University Press
(Hyper)-Graphs Inference through Convex Relaxations and Move Making Algorithms: Contributions and Applications in Artificial Vision,Now Foundations and Trends
(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests,Wiley Data and Cybersecurity
(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide,Wiley Data and Cybersecurity
(ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests,Wiley Data and Cybersecurity
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,Wiley Data and Cybersecurity
(ISC)2 SSCP Systems Security Certified Practitioner Official Practice Tests,Wiley Data and Cybersecurity
(ISC)2 SSCP Systems Security Certified Practitioner Official Study Guide,Wiley Data and Cybersecurity
10 Lenses to Design Sports-HCI,Now Foundations and Trends
10 PRINT CHR$(205.5+RND(1)); : GOTO 10,MIT Press
1177 B.C.: The Year Civilization Collapsed: Revised and Updated,Princeton University Press
1D and Multi-D Modeling Techniques for IC Engine Simulation,SAE
2.5D Printing: Bridging the Gap Between 2D and 3D Applications,Wiley Telecom
2009 Ultimate GD&T Pocket Guide,SAE
2011 IEEE-USA Employment Survey Report,IEEE USA Books & eBooks
2013 Circuits & Devices Industry Salary Report,IEEE USA Books & eBooks
2013 Computer Industry Salary Report,IEEE USA Books & eBooks
2013 Energy & Power Industry Salary Report,IEEE USA Books & eBooks
2013 IEEE-USA Employment Survey Report,IEEE USA Books & eBooks
2013 Systems & Control Industry Salary Report,IEEE USA Books & eBooks
2013 Telecommunications Industry Salary Report,IEEE USA Books & eBooks
2014 IEEE-USA Circuits & Devices Industry Salary Report,IEEE USA Books & eBooks
2014 IEEE-USA Computer Industry Salary Report,IEEE USA Books & eBooks
2014 IEEE-USA Employment Survey Report,IEEE USA Books & eBooks
2014 IEEE-USA Energy & Power Industry Salary Report,IEEE USA Books & eBooks
2014 IEEE-USA National Energy Policy Recommendations,IEEE USA Books & eBooks
2014 IEEE-USA Systems & Control Industry Salary Report,IEEE USA Books & eBooks
2014 IEEE-USA Telecommunications Industry Salary Report,IEEE USA Books & eBooks
2014 Passenger Car Yearbook,SAE
2015 Circuits and Devices Industry Salary Report,IEEE USA Books & eBooks
2015 Communications Industry Salary Report,IEEE USA Books & eBooks
2015 Computer Industry Salary Report,IEEE USA Books & eBooks
2015 Passenger Car and 2014 Concept Car Yearbook,SAE
2015 Power and Energy Industry Salary Report,IEEE USA Books & eBooks
2015 Systems and Control Industry Salary Report,IEEE USA Books & eBooks
2016 Passenger Car and 2015 Concept Car Yearbook,SAE
"2D Object Detection and Recognition: Models, Algorithms, and Networks",MIT Press
3D IC and RF SiPs: Advanced Stacking and Planar Solutions for 5G Mobility,Wiley-IEEE Press
3D Printing,MIT Press
3D Reconstruction from Multiple Images: Part 1: Principles,Now Foundations and Trends
3D and HD Broadband Video Networking,Artech
"3DTV Content Capture, Encoding and Transmission: Building the Transport Infrastructure for Commercial Services",Wiley-IEEE Press
3G CDMA2000 Wireless Engineering,Artech
"3G Multimedia Networks Services, Accounting, and User Profiles",Artech
"3G, 4G and Beyond: Bringing Networks, Devices and the Web Together",Wiley Telecom
"3G, HSPA and FDD versus TDD Networking: Smart Antennas and Adaptive Modulation",Wiley-IEEE Press
48-Volt Developments,SAE
4G Roadmap and Emerging Communication Technologies,Artech
4G Wireless Video Communications,Wiley Telecom
5G Explained: Security and Deployment of Advanced Mobile Communications,Wiley Telecom
"5G Networks: Fundamental Requirements, Enabling Technologies, and Operations Management",Wiley-IEEE Press
5G New Radio: A Beam-based Air Interface,Wiley Telecom
5G New Radio: Beyond Mobile Broadband,Artech
5G Physical Layer Technologies,Wiley-IEEE Press
5G Radio Access Network Architecture: The Dark Side of 5G,Wiley-IEEE Press
5G Second Phase Explained: The 3GPP Release 16 Enhancements,Wiley Telecom
5G Spectrum and Standards,Artech
5G System Design: Architectural and Functional Considerations and Long Term Research,Wiley Telecom
"5G Verticals: Customizing Applications, Technologies and Deployment Techniques",Wiley-IEEE Press
5G and Satellite RF and Optical Integration,Artech
"5G and Satellite Spectrum, Standards, and Scale",Artech
5G for the Connected World,Wiley Telecom
"5G, Cybersecurity and Privacy in Developing Countries",River Publishers
5G-Enabled Industrial IoT Networks,Artech
60GHz Technology for Gbps WLAN and WPAN: From Theory to Practice,Wiley Telecom
6G Enabling Technologies New Dimensions to Wireless Communication,River Publishers
6G Frontiers: Towards Future Wireless Systems,Wiley-IEEE Press
6G Key Technologies: A Comprehensive Guide,Wiley-IEEE Press
6G The Road to the Future Wireless Technologies 2030,River Publishers
6G and Onward to Next G: The Road to the Multiverse,Wiley-IEEE Press
6LoWPAN: The Wireless Embedded Internet,Wiley Telecom
8 Steps to Better Security: A Simple Cyber Resilience Guide for Business,Wiley Data and Cybersecurity
"802.11 WLANS and IP Networking: Security, QoS, and Mobility",Artech
802.1aq Shortest Path Bridging Design and Evolution: The Architect's Perspective,Wiley-IEEE Standards Association
99 Variations on a Proof,Princeton University Press
A 360-Degree View of IoT Technologies,Artech
A Billion Little Pieces: RFID and Infrastructures of Identification,MIT Press
A Biography of the Pixel,MIT Press
A Brief Introduction to Machine Learning for Engineers,Now Foundations and Trends
A Brief Welcome to the Universe: A Pocket-Sized Tour,Princeton University Press
A Case for Climate Engineering,MIT Press
"A Century of Electrical Engineering and Computer Science at MIT, 1882-1982",MIT Press
"A Century of Honors: The First One-Hundred Years of Award Winners, Honorary Members, Past Presidents, and Fellows of the Institute",Wiley-IEEE Press
A Citizen's Guide to Artificial Intelligence,MIT Press
A City Is Not a Computer: Other Urban Intelligences,Princeton University Press
A Clean Slate Approach to Secure Wireless Networking,Now Foundations and Trends
A Comprehensive Guide to 5G Security,Wiley Telecom
A Comprehensive Review of Modern Object Segmentation Approaches,Now Foundations and Trends
"A Data Scientist's Guide to Acquiring, Cleaning, and Managing Data in R",Wiley Data and Cybersecurity
A Decade of Lattice Cryptography,Now Foundations and Trends
A Design Space of Sports Interaction Technology,Now Foundations and Trends
A Dynamical Systems Theory of Thermodynamics,Princeton University Press
A Few Good Men From Univac,MIT Press
A Field Guide to Dynamical Recurrent Networks,Wiley-IEEE Press
A First Course in Control System Design,River Publishers
"A First Course in Control System Design, Second Edition",River Publishers
A First Course in Turbulence,MIT Press
A Framework For Efficient Modular Heap Analysis,Now Foundations and Trends
A Framework for Web Science,Now Foundations and Trends
A Framework of Human Systems Engineering: Applications and Case Studies,Wiley-IEEE Press
A Fresh Look at Generalized Sampling,Now Foundations and Trends
A Glossary of Corrosion-Related Terms Used in Science and Industry,SAE
A Grammatical View of Logic Programming,MIT Press
A Guide to Experiments in Quantum Optics,Wiley Telecom
"A Guide to Noise in Microwave Circuits: Devices, Circuits and Measurement",Wiley-IEEE Press
A Guide to Software Configuration Management,Artech
A Guide to the Wireless Engineering Body of Knowledge (WEBOK),Wiley-IEEE Press
A Guide to the Wireless Engineering Body of Knowledge (WEBOK),Wiley-IEEE Press
A Hands-On Guide to Designing Embedded Systems,Artech
"A Hierarchy of Turing Degrees: A Transfinite Hierarchy of Lowness Notions in the Computably Enumerable Degrees, Unifying Classes, and Natural Definability (AMS-206)",Princeton University Press
"A History of Online Information Services, 1963-1976",MIT Press
"A Little Java, A Few Patterns",MIT Press
A Living Resume - Volume 1: Documenting Your Accomplishments,IEEE USA Books & eBooks
"A Living Resume - Volume 2: Documenting Your Writings, Awards and Honors",IEEE USA Books & eBooks
"A Living Resume - Volume 3: Documenting Your Professional Service, Community Service & Consultancies",IEEE USA Books & eBooks
A Multidisciplinary Introduction to Desalination,River Publishers
A New Framework for Discrete-Event Systems,Now Foundations and Trends
A New History of Modern Computing,MIT Press
A New Swing-Contract Design for Wholesale Power Markets,Wiley-IEEE Press
A Play of Bodies: How We Perceive Videogames,MIT Press
A Practical Guide to EMC Engineering,Artech
A Practical Guide to Error-Control Coding Using MATLAB,Artech
A Practical Introduction to Human-in-the-Loop Cyber-Physical Systems,Wiley-IEEE Press
A Practitioner's Guide to Leadership - 2nd Edition,IEEE USA Books & eBooks
A Pragmatic Introduction to Secure Multi-Party Computation,Now Foundations and Trends
A Prehistory of the Cloud,MIT Press
A Prelude to Quantum Field Theory,Princeton University Press
A Primer on Reproducing Kernel Hilbert Spaces,Now Foundations and Trends
A Professionalís Guide to Data Communication in a TCP/IP World,Artech
A Review of Ethical Issue Considerations in the Information Systems Research Literature,Now Foundations and Trends
A Review of Personality in Human-Robot Interactions,Now Foundations and Trends
A Review of Point Cloud Registration Algorithms for Mobile Robotics,Now Foundations and Trends
A Roadmap for US Robotics – From Internet to Robotics 2020 Edition,Now Foundations and Trends
A Robot Ping-Pong Player: Experiments in Real-Time Intelligent Control,MIT Press
A Scientific Approach to Writing for Engineers and Scientists,Wiley-IEEE Press
A Short History of Circuits and Systems,River Publishers
A Signal Processing Perspective of Financial Engineering,Now Foundations and Trends
A Small Matter of Programming: Perspectives on End User Computing,MIT Press
A Social History of Engineering,MIT Press
A Stochastic Grammar of Images,Now Foundations and Trends
A Survey of Augmented Reality,Now Foundations and Trends
A Survey of Computational Physics: Introductory Computational Science,Princeton University Press
A Survey of Lower Bounds for Satisfiability and Related Problems,Now Foundations and Trends
A Survey of Methods for Safe Human-Robot Interaction,Now Foundations and Trends
A Survey of Nonverbal Signaling Methods for Non-Humanoid Robots,Now Foundations and Trends
A Survey of Photometric Stereo Techniques,Now Foundations and Trends
A Survey of Query Auto Completion in Information Retrieval,Now Foundations and Trends
A Survey of Relaxations and Approximations of the Power Flow Equations,Now Foundations and Trends
A Survey of Statistical Network Models,Now Foundations and Trends
A Survey of Value Sensitive Design Methods,Now Foundations and Trends
A Survey on Policy Search for Robotics,Now Foundations and Trends
A Survey on the Integration of Machine Learning with Sampling-based Motion Planning,Now Foundations and Trends
A Systems Approach to Lithium-Ion Battery Management,Artech
A Traveler’s Guide to the Stars,Princeton University Press
A Tutorial on Linear Function Approximators for Dynamic Programming and Reinforcement Learning,Now Foundations and Trends
A Tutorial on Thompson Sampling,Now Foundations and Trends
A Unifying Tutorial on Approximate Message Passing,Now Foundations and Trends
"A Vast Machine: Computer Models, Climate Data, and the Politics of Global Warming",MIT Press
"A Well-Ordered Thing: Dmitrii Mendeleev and the Shadow of the Periodic Table, Revised Edition",Princeton University Press
A Whole-System Approach to High-Performance Green Buildings,Artech
A Year of Action: 2016 IEEE-USA Annual Report,IEEE USA Books & eBooks
A “Light” Guide to Energy Savings in Transport,River Publishers
"A-GPS: Assisted GPS, GNSS, and SBAS",Artech
ADAS and Automated Driving: A Practical Approach to Verification and Validation,SAE
AI Assistants,MIT Press
AI Ethics,MIT Press
"AI and Business Models: The Good, The Bad and The Ugly",Now Foundations and Trends
AI and Machine Learning for Network and Security Management,Wiley-IEEE Press
AI in the 1980s and Beyond: An MIT Survey,MIT Press
AI in the Wild: Sustainability in the Age of Artificial Intelligence,MIT Press
AI-Enabled 6G Networks and Applications,Wiley Data and Cybersecurity
AN INTRODUCTION TO TENSOR ANALYSIS,River Publishers
ARC Flash Hazard Analysis and Mitigation,Wiley-IEEE Press
ATM Interworking in Broadband Wireless Applications.,Artech
AWS Certified Security Study Guide: Specialty (SCS-C01) Exam,Wiley Data and Cybersecurity
AWS Certified Solutions Architect Study Guide: Associate SAA-C02 Exam,Wiley Data and Cybersecurity
