web-scraper-order,web-scraper-start-url,pages,Auther
"1684612433-1","https://www.tandfonline.com/action/doSearch?AllField=authers","","Catherine Dormor"
"1684612433-2","https://www.tandfonline.com/action/doSearch?AllField=authers","","Grant Klarich Johnson Reviewed by"
"1684612433-3","https://www.tandfonline.com/action/doSearch?AllField=authers","","Jenni Sorkin"
"1684612433-4","https://www.tandfonline.com/action/doSearch?AllField=authers","","Benjamin Authers"
"1684612433-5","https://www.tandfonline.com/action/doSearch?AllField=authers","","Ben Authers"
"1684612433-6","https://www.tandfonline.com/action/doSearch?AllField=authers","","Stefan Selljber"
"1684612433-7","https://www.tandfonline.com/action/doSearch?AllField=authers","","Dong-heng Cho"
"1684612433-8","https://www.tandfonline.com/action/doSearch?AllField=authers","","Nobuo Honma"
"1684612433-9","https://www.tandfonline.com/action/doSearch?AllField=authers","","Catharina Dorothea Prinsloo"
"1684612433-10","https://www.tandfonline.com/action/doSearch?AllField=authers","","Elissa Auther"
"1684612433-11","https://www.tandfonline.com/action/doSearch?AllField=authers","","Catherine Dormor"
"1684612433-12","https://www.tandfonline.com/action/doSearch?AllField=authers","","Grant Klarich Johnson Reviewed by"
"1684612433-13","https://www.tandfonline.com/action/doSearch?AllField=authers","","Jenni Sorkin"
"1684612433-14","https://www.tandfonline.com/action/doSearch?AllField=authers","","Benjamin Authers"
"1684612433-15","https://www.tandfonline.com/action/doSearch?AllField=authers","","Ben Authers"
"1684612433-16","https://www.tandfonline.com/action/doSearch?AllField=authers","","Stefan Selljber"
"1684612433-17","https://www.tandfonline.com/action/doSearch?AllField=authers","","Dong-heng Cho"
"1684612433-18","https://www.tandfonline.com/action/doSearch?AllField=authers","","Nobuo Honma"
"1684612433-19","https://www.tandfonline.com/action/doSearch?AllField=authers","","Catharina Dorothea Prinsloo"
"1684612433-20","https://www.tandfonline.com/action/doSearch?AllField=authers","","Elissa Auther"
"1684612437-21","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","Mineo Kojima"
"1684612437-22","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","Yousif Mustafa Salih"
"1684612437-23","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4",""
"1684612437-24","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","Tamra Lysaght"
"1684612437-25","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","Chang Gao"
"1684612437-26","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","H. R. Moustafa"
"1684612437-27","https://www.tandfonline.com/action/doSearch?AllField=authers","https://www.tandfonline.com/action/doSearch?AllField=authers&pageSize=10&subjectTitle=&startPage=4","Ujwala A. Shinde"
